Bin Start (ns),Bin End (ns),Frequency
49250,49375,5
49375,49500,9
49500,49625,5
49625,49750,11
49750,49875,6
49875,50000,7
50000,50125,7
50125,50250,7
50250,50375,7
50375,50500,8
50500,50625,7
50625,50750,8
50750,50875,5
50875,51000,6
51000,51125,9
51125,51250,7
51250,51375,9
51375,51500,10
51500,51625,8
51625,51750,7
51750,51875,6
51875,52000,4
52000,52125,9
52125,52250,4
52250,52375,4
52375,52500,5
52500,52625,10
52625,52750,8
52750,52875,5
52875,53000,6
53000,53125,9
53125,53250,4
53250,53375,9
53375,53500,7
53500,53625,6
53625,53750,2
53750,53875,9
53875,54000,4
54000,54125,5
54125,54250,4
54250,54375,13
54375,54500,6
54500,54625,3
54625,54750,4
54750,54875,4
54875,55000,9
55000,55125,6
55125,55250,6
55250,55375,7
55375,55500,3
55500,55625,5
55625,55750,7
55750,55875,3
55875,56000,1
56000,56125,4
56125,56250,2
56250,56375,8
56375,56500,4
56500,56625,3
56625,56750,3
56750,56875,4
56875,57000,4
57000,57125,3
57125,57250,5
57250,57375,2
57375,57500,3
57500,57625,5
57625,57750,7
57750,57875,5
57875,58000,7
58000,58125,4
58125,58250,10
58250,58375,7
58375,58500,3
58500,58625,5
58625,58750,6
58750,58875,10
58875,59000,6
59000,59125,3
59125,59250,2
59250,59375,4
59375,59500,4
59500,59625,7
59625,59750,5
59750,59875,2
59875,60000,2
60000,60125,6
60125,60250,4
60250,60375,6
60375,60500,3
60500,60625,0
60625,60750,5
60750,60875,8
60875,61000,2
61000,61125,3
61125,61250,4
61250,61375,4
61375,61500,6
61500,61625,5
61625,61750,6
61750,61875,4
61875,62000,3
62000,62125,3
62125,62250,1
62250,62375,8
62375,62500,5
62500,62625,8
62625,62750,3
62750,62875,3
62875,63000,6
63000,63125,5
63125,63250,3
63250,63375,4
63375,63500,1
63500,63625,3
63625,63750,8
63750,63875,6
63875,64000,7
64000,64125,6
64125,64250,1
64250,64375,3
64375,64500,4
64500,64625,6
64625,64750,4
64750,64875,3
64875,65000,4
65000,65125,2
65125,65250,6
65250,65375,3
65375,65500,9
65500,65625,6
65625,65750,4
65750,65875,4
65875,66000,3
66000,66125,2
66125,66250,3
66250,66375,2
66375,66500,3
66500,66625,5
